Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Column,Rule: Relation,Rule: Condition
exte,MERGE,Exte,<p>Discover the Exte collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Exte
p-a-r-o-s-h,MERGE,P.A.R.O.S.H.,<p>Discover the P.A.R.O.S.H. collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,P.A.R.O.S.H.
peserico,MERGE,Peserico,<p>Discover the Peserico collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Peserico
cavalli,MERGE,Cavalli,<p>Discover the Cavalli collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Cavalli
sacai,MERGE,Sacai,<p>Discover the Sacai collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Sacai
alexander-wang,MERGE,Alexander Wang,<p>Discover the Alexander Wang collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Alexander Wang
jack-jones,MERGE,Jack Jones,<p>Discover the Jack Jones collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Jack Jones
celine,MERGE,Celine,<p>Discover the Celine collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Celine
axel-arigato,MERGE,Axel Arigato,<p>Discover the Axel Arigato collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Axel Arigato
ted-baker,MERGE,Ted Baker,<p>Discover the Ted Baker collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Ted Baker
iceberg,MERGE,Iceberg,<p>Discover the Iceberg collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Iceberg
victoria-s-secret,MERGE,Victoria's Secret,<p>Discover the Victoria's Secret collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Victoria's Secret
luminox,MERGE,Luminox,<p>Discover the Luminox collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Luminox
helly-hansen,MERGE,Helly Hansen,<p>Discover the Helly Hansen collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Helly Hansen
porsche-design,MERGE,Porsche Design,<p>Discover the Porsche Design collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Porsche Design
billabong,MERGE,BILLABONG,<p>Discover the BILLABONG collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,BILLABONG
robert-friedman,MERGE,Robert Friedman,<p>Discover the Robert Friedman collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Robert Friedman
pt-torino,MERGE,PT Torino,<p>Discover the PT Torino collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,PT Torino
fiorucci,MERGE,Fiorucci,<p>Discover the Fiorucci collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Fiorucci
haikure,MERGE,Haikure,<p>Discover the Haikure collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Haikure
web,MERGE,Web,<p>Discover the Web collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Web
magda-butrym,MERGE,Magda Butrym,<p>Discover the Magda Butrym collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Magda Butrym
bally,MERGE,Bally,<p>Discover the Bally collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Bally
citizen,MERGE,Citizen,<p>Discover the Citizen collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Citizen
zanellato,MERGE,Zanellato,<p>Discover the Zanellato collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Zanellato
our-legacy,MERGE,Our Legacy,<p>Discover the Our Legacy collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Our Legacy
pompei-donatella,MERGE,Pompei Donatella,<p>Discover the Pompei Donatella collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Pompei Donatella
sergio-rossi,MERGE,Sergio Rossi,<p>Discover the Sergio Rossi collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Sergio Rossi
bagutta,MERGE,Bagutta,<p>Discover the Bagutta collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Bagutta
verri,MERGE,Verri,<p>Discover the Verri collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Verri
mr-mrs-italy,MERGE,Mr&Mrs Italy,<p>Discover the Mr&Mrs Italy collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Mr&Mrs Italy
cafenoir,MERGE,Cafenoir,<p>Discover the Cafenoir collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Cafenoir
calvin-klein-underwear,MERGE,Calvin Klein Underwear,<p>Discover the Calvin Klein Underwear collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Calvin Klein Underwear
daniele-alessandrini,MERGE,Daniele Alessandrini,<p>Discover the Daniele Alessandrini collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Daniele Alessandrini
s-max-mara,MERGE,'S Max Mara,<p>Discover the 'S Max Mara collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,'S Max Mara
loewe,MERGE,Loewe,<p>Discover the Loewe collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Loewe
londonbe,MERGE,LONDONBE,<p>Discover the LONDONBE collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,LONDONBE
new-balance,MERGE,New Balance,<p>Discover the New Balance collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,New Balance
parajumpers,MERGE,Parajumpers,<p>Discover the Parajumpers collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Parajumpers
